*** This is NuSMV 2.7.0 (compiled on (unknown))
*** Enabled addons are: compass
*** For more information on NuSMV see <http://nusmv.fbk.eu>
*** or email to <nusmv-users@list.fbk.eu>.
*** Please report bugs to <Please report bugs to <nusmv-users@fbk.eu>>

*** Copyright (c) 2010-2025, Fondazione Bruno Kessler

*** This version of NuSMV is linked to the CUDD library version 2.4.1
*** Copyright (c) 1995-2004, Regents of the University of Colorado

######################################################################
system diameter: 5
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_2.reg_value = TRUE
  sup_mux_rhs.newInit.reg = FALSE
  sup_mux_rhs.newInit.full = TRUE
  sup_mux_rhs.buff.inner_one_slot_break_dv.outs_valid_i = TRUE
  sup_mux_rhs.buff.data = FALSE
  sup_mux_rhs.newInit2.reg = TRUE
  sup_mux_rhs.newInit2.full = FALSE
  ------- State   39 ------
  seq_generator_loopLiveIn.outs = TRUE
  seq_generator_iterLiveOut.outs = FALSE
  seq_generator_oldContinue.outs = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_0.reg_value = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_1.reg_value = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_2.reg_value = TRUE
  sup_mux_rhs.newInit.reg = FALSE
  sup_mux_rhs.newInit.full = TRUE
  sup_mux_rhs.buff.inner_one_slot_break_dv.outs_valid_i = TRUE
  sup_mux_rhs.buff.data = FALSE
  sup_mux_rhs.newInit2.reg = TRUE
  sup_mux_rhs.newInit2.full = FALSE
  ------- State   40 ------
  seq_generator_loopLiveIn.outs = FALSE
  seq_generator_iterLiveOut.outs = FALSE
  seq_generator_oldContinue.outs = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_0.reg_value = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_1.reg_value = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_2.reg_value = TRUE
  sup_mux_rhs.newInit.reg = FALSE
  sup_mux_rhs.newInit.full = TRUE
  sup_mux_rhs.buff.inner_one_slot_break_dv.outs_valid_i = TRUE
  sup_mux_rhs.buff.data = FALSE
  sup_mux_rhs.newInit2.reg = TRUE
  sup_mux_rhs.newInit2.full = FALSE
  ------- State   41 ------
  seq_generator_loopLiveIn.outs = TRUE
  seq_generator_iterLiveOut.outs = TRUE
  seq_generator_oldContinue.outs = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_0.reg_value = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_1.reg_value = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_2.reg_value = TRUE
  sup_mux_rhs.newInit.reg = TRUE
  sup_mux_rhs.newInit.full = TRUE
  sup_mux_rhs.buff.inner_one_slot_break_dv.outs_valid_i = TRUE
  sup_mux_rhs.buff.data = TRUE
  sup_mux_rhs.newInit2.reg = TRUE
  sup_mux_rhs.newInit2.full = FALSE
  ------- State   42 ------
  seq_generator_loopLiveIn.outs = FALSE
  seq_generator_iterLiveOut.outs = TRUE
  seq_generator_oldContinue.outs = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_0.reg_value = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_1.reg_value = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_2.reg_value = TRUE
  sup_mux_rhs.newInit.reg = TRUE
  sup_mux_rhs.newInit.full = TRUE
  sup_mux_rhs.buff.inner_one_slot_break_dv.outs_valid_i = TRUE
  sup_mux_rhs.buff.data = TRUE
  sup_mux_rhs.newInit2.reg = TRUE
  sup_mux_rhs.newInit2.full = FALSE
  ------- State   43 ------
  seq_generator_loopLiveIn.outs = TRUE
  seq_generator_iterLiveOut.outs = FALSE
  seq_generator_oldContinue.outs = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_0.reg_value = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_1.reg_value = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_2.reg_value = TRUE
  sup_mux_rhs.newInit.reg = TRUE
  sup_mux_rhs.newInit.full = TRUE
  sup_mux_rhs.buff.inner_one_slot_break_dv.outs_valid_i = TRUE
  sup_mux_rhs.buff.data = TRUE
  sup_mux_rhs.newInit2.reg = TRUE
  sup_mux_rhs.newInit2.full = FALSE
  ------- State   44 ------
  seq_generator_loopLiveIn.outs = FALSE
  seq_generator_iterLiveOut.outs = FALSE
  seq_generator_oldContinue.outs = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_0.reg_value = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_1.reg_value = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_2.reg_value = TRUE
  sup_mux_rhs.newInit.reg = TRUE
  sup_mux_rhs.newInit.full = TRUE
  sup_mux_rhs.buff.inner_one_slot_break_dv.outs_valid_i = TRUE
  sup_mux_rhs.buff.data = TRUE
  sup_mux_rhs.newInit2.reg = TRUE
  sup_mux_rhs.newInit2.full = FALSE
  ------- State   45 ------
  seq_generator_loopLiveIn.outs = TRUE
  seq_generator_iterLiveOut.outs = TRUE
  seq_generator_oldContinue.outs = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_0.reg_value = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_1.reg_value = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_2.reg_value = TRUE
  sup_mux_rhs.newInit.reg = TRUE
  sup_mux_rhs.newInit.full = TRUE
  sup_mux_rhs.buff.inner_one_slot_break_dv.outs_valid_i = TRUE
  sup_mux_rhs.buff.data = TRUE
  sup_mux_rhs.newInit2.reg = FALSE
  sup_mux_rhs.newInit2.full = FALSE
  ------- State   46 ------
  seq_generator_loopLiveIn.outs = FALSE
  seq_generator_iterLiveOut.outs = TRUE
  seq_generator_oldContinue.outs = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_0.reg_value = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_1.reg_value = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_2.reg_value = TRUE
  sup_mux_rhs.newInit.reg = TRUE
  sup_mux_rhs.newInit.full = TRUE
  sup_mux_rhs.buff.inner_one_slot_break_dv.outs_valid_i = TRUE
  sup_mux_rhs.buff.data = TRUE
  sup_mux_rhs.newInit2.reg = FALSE
  sup_mux_rhs.newInit2.full = FALSE
  ------- State   47 ------
  seq_generator_loopLiveIn.outs = TRUE
  seq_generator_iterLiveOut.outs = FALSE
  seq_generator_oldContinue.outs = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_0.reg_value = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_1.reg_value = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_2.reg_value = TRUE
  sup_mux_rhs.newInit.reg = TRUE
  sup_mux_rhs.newInit.full = TRUE
  sup_mux_rhs.buff.inner_one_slot_break_dv.outs_valid_i = TRUE
  sup_mux_rhs.buff.data = TRUE
  sup_mux_rhs.newInit2.reg = FALSE
  sup_mux_rhs.newInit2.full = FALSE
  ------- State   48 ------
  seq_generator_loopLiveIn.outs = FALSE
  seq_generator_iterLiveOut.outs = FALSE
  seq_generator_oldContinue.outs = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_0.reg_value = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_1.reg_value = TRUE
  sup_mux_rhs.fork_continue.inner_fork.inner_reg_block_2.reg_value = TRUE
  sup_mux_rhs.newInit.reg = TRUE
  sup_mux_rhs.newInit.full = TRUE
  sup_mux_rhs.buff.inner_one_slot_break_dv.outs_valid_i = TRUE
  sup_mux_rhs.buff.data = TRUE
  sup_mux_rhs.newInit2.reg = FALSE
  sup_mux_rhs.newInit2.full = FALSE
  -------------------------
######################################################################
elapse: 0.02 seconds, total: 0.02 seconds
